reactants	product	scaffold	split
COc1cccc(C(O)(C(=O)O)c2cccc(OC)c2)c1.O[C@H]1CN2CCC1CC2	COc1cccc(C(O)(C(=O)O[C@H]2CN3CCC2CC3)c2cccc(OC)c2)c1	O=C(O[C@H]1CN2CCC1CC2)C(c1ccccc1)c1ccccc1	dev
C=CC[C@@H](NC(=O)OC(C)(C)C)C(=O)O.CN[C@H](C)[C@H](O)c1ccccc1	C=CC[C@@H](NC(=O)OC(C)(C)C)C(=O)N(C)[C@H](C)[C@H](O)c1ccccc1	c1ccccc1	validation
COC(=O)c1ccc(Cl)c(OCC(=O)O)c1.Cc1c(OC2CCN(C[C@H](O)CN)CC2)ccc(Cl)c1Cl	COC(=O)c1ccc(Cl)c(OCC(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3C)CC2)c1	O=C(COc1ccccc1)NCCCN1CCC(Oc2ccccc2)CC1	dev
CC(C)(C)OC(=O)N1C[C@H](O)[C@@H](Nc2ccc(Br)cc2[N+](=O)[O-])C1.O=C(O)CCl	CC(C)(C)OC(=O)N1C[C@H](Nc2ccc(Br)cc2[N+](=O)[O-])[C@H](OC(=O)CCl)C1	c1ccc(N[C@@H]2CCNC2)cc1	dev
O=C(O)c1ccccc1.O=C(OCc1ccccc1)N1CCC[C@]2(CCN([C@H]3CC[C@H](O)CC3)C2=O)C1	O=C(O[C@H]1CC[C@@H](N2CC[C@]3(CCCN(C(=O)OCc4ccccc4)C3)C2=O)CC1)c1ccccc1	O=C(O[C@H]1CC[C@@H](N2CC[C@]3(CCCN(C(=O)OCc4ccccc4)C3)C2=O)CC1)c1ccccc1	dev
CC(C)Cc1ccc(C(C)C(=O)O)cc1.CCCO	CCCOC(=O)C(C)c1ccc(CC(C)C)cc1	c1ccccc1	validation
CO.CS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)O)cc1	COC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)cc1	c1ccc(CCC2CCCC2)cc1	validation
C/C=C/C(=O)O.CC(O)CC(C)C(C)C	CC=CC(=O)OC(C)CC(C)C(C)C	CC=CC(=O)OC(C)CC(C)C(C)C	dev
CCO.O=C(O)C(F)(F)CNc1c([N+](=O)[O-])cccc1[N+](=O)[O-]	CCOC(=O)C(F)(F)CNc1c([N+](=O)[O-])cccc1[N+](=O)[O-]	c1ccccc1	validation
Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)O)CC3)CC2)cc(C)c1O.O=C1CCCN1CCO	Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)OCCN4CCCC4=O)CC3)CC2)cc(C)c1O	O=C(CN1CCC(C2CCN(C(=O)[C@@H](Cc3ccccc3)OC(=O)N3CCC(N4CCc5ccccc5NC4=O)CC3)CC2)CC1)OCCN1CCCC1=O	dev
O=C(O)[C@@H]1CCCN1.O=[N+]([O-])c1ccc(CO)cc1	O=C(OCc1ccc([N+](=O)[O-])cc1)[C@@H]1CCCN1	O=C(OCc1ccccc1)[C@@H]1CCCN1	validation
Cc1csc(C(O)CNC(C)C)c1C.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	Cc1csc(C(CNC(C)C)OC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)c1C	c1ccsc1	holdout
C=CCNCC(O)COc1cccc2c1CC(=O)N2.O=C(O)C12CC3CC(CC(C3)C1)C2	C=CCNCC(COc1cccc2c1CC(=O)N2)OC(=O)C12CC3CC(CC(C3)C1)C2	O=C1Cc2c(cccc2OCCOC(=O)C23CC4CC(CC(C4)C2)C3)N1	dev
O=C(O)c1cccc2c1N=C(c1ccccc1Cl)CC2=O.OCCO	O=C1CC(c2ccccc2Cl)=Nc2c1cccc2C(=O)OCCO	O=C1CC(c2ccccc2)=Nc2ccccc21	holdout
Cc1ccccc1-c1nc(C(=O)O)c(CCC23CC4CC(CC(C4)C2)C3)[nH]1.O=C(OCc1ccccc1)c1cccc(O)c1	Cc1ccccc1-c1nc(C(=O)Oc2cccc(C(=O)OCc3ccccc3)c2)c(CCC23CC4CC(CC(C4)C2)C3)[nH]1	O=C(OCc1ccccc1)c1cccc(OC(=O)c2nc(-c3ccccc3)[nH]c2CCC23CC4CC(CC(C4)C2)C3)c1	dev
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O.CC(C)CC[C@H](O)[C@@H](N)CC1CCCCC1	CC(C)CC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)OC(C)(C)C	O=C(CCc1c[nH]cn1)NCCC1CCCCC1	validation
CO.O=C(O)c1cc(F)cnc1Cl	COC(=O)c1cc(F)cnc1Cl	c1ccncc1	dev
C[C@@H](O)[C@H]1COC[C@@H](c2ccc(Cl)cc2)N1.O=C(O)c1ccc([N+](=O)[O-])cc1	C[C@H](OC(=O)c1ccc([N+](=O)[O-])cc1)[C@H]1COC[C@@H](c2ccc(Cl)cc2)N1	O=C(OC[C@H]1COC[C@@H](c2ccccc2)N1)c1ccccc1	holdout
C=CCCC[C@H]1CC[C@H](C(=O)O)CC1.CCOc1ccc(O)cc1	C=CCCC[C@H]1CC[C@H](C(=O)Oc2ccc(OCC)cc2)CC1	O=C(Oc1ccccc1)C1CCCCC1	validation
C=CCc1cc(OCC(=O)O)ccc1O.CCO	C=CCc1cc(OCC(=O)OCC)ccc1O	c1ccccc1	validation
CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)C(N)Cc1ccccc1.Cc1ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc1	Cc1ccc(S(=O)(=O)N[C@H](C(=O)NC(Cc2ccccc2)C(O)C(Cc2ccccc2)NC(=O)OC(C)(C)C)C(C)C)cc1	O=C(CNS(=O)(=O)c1ccccc1)NC(CCCc1ccccc1)Cc1ccccc1	holdout
CC(=O)O.COC(=O)c1cc(C=Cc2ccc(S(=O)(=O)O)cc2)ccc1O	COC(=O)c1cc(C=Cc2ccc(S(=O)(=O)O)cc2)ccc1OC(C)=O	C(=Cc1ccccc1)c1ccccc1	validation
CN(C)c1ccc(CN[C@@H](C(=O)O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)cc1.COc1ccc(CNC(=O)[C@@H](N)C(C)C)c(O)c1	COc1ccc(CNC(=O)[C@@H](NC(=O)[C@H](NCc2ccc(N(C)C)cc2)[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(C)C)c(O)c1	O=C(CNC(=O)[C@@H](CCCc1ccccc1)NCc1ccccc1)NCc1ccccc1	validation
CO.O=C(O)c1cccc(Br)c1F	COC(=O)c1cccc(Br)c1F	c1ccccc1	validation
C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C.CCCCCCCCCC=CC=CC=CC=CC=CC(=O)O	CCCCCCCCCC=CC=CC=CC=CC=CC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	CCCCCCCCCC=CC=CC=CC=CC=CC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	dev
CCO.COc1ccc2cc(C(C)C(=O)O)ccc2c1	CCOC(=O)C(C)c1ccc2cc(OC)ccc2c1	c1ccc2ccccc2c1	validation
Nc1c(Cl)cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(N3CCC[C@@H]3C(=O)O)CC2)cc1C(F)(F)F.OCCN1CCOCC1	Nc1c(Cl)cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(N3CCC[C@@H]3C(=O)OCCN3CCOCC3)CC2)cc1C(F)(F)F	O=C(OCCN1CCOCC1)[C@H]1CCCN1C1CCN(C(=O)[C@@H](Cc2ccccc2)OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)CC1	validation
COC(=O)c1c(O)ccc2cc(C(=N)N)ccc12.NN=CNc1ccc(C(=O)O)cc1	COC(=O)c1c(OC(=O)c2ccc(NC=NN)cc2)ccc2cc(C(=N)N)ccc12	O=C(Oc1ccc2ccccc2c1)c1ccccc1	dev
CC(C)(C)OC(=O)NC(CC1CCOCC1)C(=O)O.CC(C)(O)Cn1ccc(N)n1	CC(C)(O)Cn1ccc(NC(=O)C(CC2CCOCC2)NC(=O)OC(C)(C)C)n1	O=C(CCC1CCOCC1)Nc1cc[nH]n1	dev
COc1cccc(C[C@]2(C(=O)O)CCCN2C(=O)C2CCCN2C(=O)OCc2ccccc2)c1.C[C@@H](O)[C@H](N)C(N)=O	COc1cccc(CC2(C(=O)N[C@H](C(N)=O)[C@@H](C)O)CCCN2C(=O)[C@@H]2CCCN2C(=O)OCc2ccccc2)c1	O=C([C@@H]1CCCN1C(=O)OCc1ccccc1)N1CCCC1Cc1ccccc1	holdout
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O.OC1CCNCC1	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC(O)CC1	O=C(CCc1ccccc1)N1CCCCC1	dev
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1.C[C@H](NC(=O)OCc1ccccc1)C(=O)O	COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C[C@@H](C)OC(=O)[C@H](C)NC(=O)OCc5ccccc5)n(-c5ccccc5)c4=O)cc3F)ccnc2c1	O=C(CNC(=O)OCc1ccccc1)OCCn1cc(C(=O)Nc2ccc(Oc3ccnc4ccccc34)cc2)c(=O)n1-c1ccccc1	validation
CO.O=C(O)/C=C/c1cccc(O)c1	COC(=O)/C=C/c1cccc(O)c1	c1ccccc1	validation
CC(C)(C)OC(=O)N1CCCc2ccc(C(=O)O)cc2C1.OCC1CCN(c2ccncc2)CC1	CC(C)(C)OC(=O)N1CCCc2ccc(C(=O)OCC3CCN(c4ccncc4)CC3)cc2C1	O=C(OCC1CCN(c2ccncc2)CC1)c1ccc2c(c1)CNCCC2	validation
CC(C)(C)OC(=O)NCCCOc1cccc(C(=O)O)c1.COC(=O)[C@H](CN)NC(=O)c1c(C)nc(NCCCc2cccc(O)c2)nc1C	COC(=O)[C@H](CNC(=O)c1cccc(OCCCNC(=O)OC(C)(C)C)c1)NC(=O)c1c(C)nc(NCCCc2cccc(O)c2)nc1C	O=C(NCCNC(=O)c1cnc(NCCCc2ccccc2)nc1)c1ccccc1	holdout
O=C(O)c1ccccc1O.OCC(Cl)(Cl)Cl	O=C(OCC(Cl)(Cl)Cl)c1ccccc1O	c1ccccc1	validation
COc1cc(C(=O)OCC(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F.NCCOCCO	COc1cc(C(=O)OCC(=O)NCCOCCO)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F	O=C(Nc1ccccc1)[C@@H]1NCC(c2ccccc2)[C@H]1c1ccccc1	holdout
COC(=O)N(C)CCCCC(=O)O.O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(-c2ccc(C3=NO[C@H](CO)C3)nc2)c(F)c1	COC(=O)N(C)CCCCC(=O)OC[C@@H]1CC(c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)=NO1	O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(-c2ccc(C3=NOCC3)nc2)cc1	dev
CCCCCCCCCCCC(O)CCCCCCCC.O=C(O)c1ccccc1	CCCCCCCCCCCC(CCCCCCCC)OC(=O)c1ccccc1	c1ccccc1	validation
CC1(C)[C@@H](C#CC(=O)OCC(Cl)(Cl)Cl)[C@H]1C(=O)O.N#C[C@@H](O)c1cccc(Oc2ccccc2)c1	CC1(C)[C@@H](C#CC(=O)OCC(Cl)(Cl)Cl)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1	O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1	validation
CO.O=C(O)c1c2nc3ccccc3c-2[nH]c2ccccc12	COC(=O)c1c2nc3ccccc3c-2[nH]c2ccccc12	c1ccc2[nH]c3c4ccccc4nc-3cc2c1	holdout
CCCCCCCCCCCc1ccc(C(=O)O)c(C(=O)O)c1.O=C(OCc1ccccc1)c1ccc(O)cc1	CCCCCCCCCCCc1ccc(C(=O)Oc2ccc(C(=O)OCc3ccccc3)cc2)c(C(=O)O)c1	O=C(OCc1ccccc1)c1ccc(OC(=O)c2ccccc2)cc1	holdout
CCO.Nc1ccc(F)cc1C(=O)O	CCOC(=O)c1cc(F)ccc1N	c1ccccc1	validation
CC1CCC(C(=O)O)CN1C(=O)OC(C)(C)C.Nc1cc(Cl)ccc1O	CC1CCC(C(=O)Nc2cc(Cl)ccc2O)CN1C(=O)OC(C)(C)C	O=C(Nc1ccccc1)C1CCCNC1	validation
CO.O=C(O)c1ccc(O)c(O)c1	COC(=O)c1ccc(O)c(O)c1	c1ccccc1	validation
CC(=O)S[C@H](C(=O)O)C(C)C.CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C(C)(C)N	CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C(C)(C)NC(=O)[C@@H](SC(C)=O)C(C)C	c1ccccc1	validation
CCO.CCn1nccc1C(=O)O	CCOC(=O)c1ccnn1CC	c1cn[nH]c1	validation
CCCCCCCCC(CF)OC(=O)c1ccc(O)cc1.CCCCCCCCOc1ccc(C(=O)O)cc1	CCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)OC(CF)CCCCCCCC)cc2)cc1	O=C(Oc1ccccc1)c1ccccc1	holdout
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](O)[C@@H]1OC.O=Cc1ccc(C(=O)O)cc1	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2ccc(C=O)cc2)[C@@H]1OC	O=C(O[C@H]1CC[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C1)c1ccccc1	dev
CC(C)c1cccc2c1OC(C(C)C)C(=S)N2CC(=O)O.COC(=O)[C@H](C)O	COC(=O)[C@H](C)OC(=O)CN1C(=S)[C@H](C(C)C)Oc2c(C(C)C)cccc21	S=C1COc2ccccc2N1	dev
CCCCCCCCCCCCC(=O)Oc1ccc(C(=O)O)cc1.Oc1ccc(OCc2ccccc2)cc1	CCCCCCCCCCCCC(=O)Oc1ccc(C(=O)Oc2ccc(OCc3ccccc3)cc2)cc1	O=C(Oc1ccc(OCc2ccccc2)cc1)c1ccccc1	dev
CCN(Cc1cc(C(=O)OCCCN2CCN(CCO)CC2)cc(Br)c1N)C1CCCCC1.O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	CCN(Cc1cc(C(=O)OCCCN2CCN(CCOC(=O)Cc3ccccc3Nc3c(Cl)cccc3Cl)CC2)cc(Br)c1N)C1CCCCC1	O=C(Cc1ccccc1Nc1ccccc1)OCCN1CCN(CCCOC(=O)c2cccc(CNC3CCCCC3)c2)CC1	dev
CCCCCCCCCCO.O=C1CC[C@@H](C(=O)O)N1	CCCCCCCCCCOC(=O)[C@@H]1CCC(=O)N1	O=C1CCCN1	dev
CC(C)(C)OC(=O)NCc1ccc(Nc2ncc(Sc3ccnc(C(=O)O)c3F)s2)nc1.CCCC(O)(CN)c1ccccc1	CCCC(O)(CNC(=O)c1nccc(Sc2cnc(Nc3ccc(CNC(=O)OC(C)(C)C)cn3)s2)c1F)c1ccccc1	O=C(NCCc1ccccc1)c1cc(Sc2cnc(Nc3ccccn3)s2)ccn1	dev
CC(C)(C)OC(=O)N[C@@H](CCO[Si](C)(C)C(C)(C)C)C(=O)O.CC1CCC(C(C)C)C(O)C1	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](CCO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C	C1CCCCC1	validation
CO.COc1ccc(CC(Cc2ccc(OC)cc2)N2C(=O)[C@H]([C@@H](C)O)[C@H]2C(=O)O)cc1	COC(=O)[C@@H]1[C@@H]([C@@H](C)O)C(=O)N1C(Cc1ccc(OC)cc1)Cc1ccc(OC)cc1	O=C1CCN1C(Cc1ccccc1)Cc1ccccc1	dev
CC(C)(C)c1ncc(C(C(=O)O)C(C)(C)C)cn1.COCc1c(F)c(F)c(CO)c(F)c1F	COCc1c(F)c(F)c(COC(=O)C(c2cnc(C(C)(C)C)nc2)C(C)(C)C)c(F)c1F	O=C(Cc1cncnc1)OCc1ccccc1	dev
CO.O=C1Nc2ccc(C(=O)O)cc2C1=Cc1ccnc2ccccc12	COC(=O)c1ccc2c(c1)C(=Cc1ccnc3ccccc13)C(=O)N2	O=C1Nc2ccccc2C1=Cc1ccnc2ccccc12	holdout
CCO.Cc1ccc(C(=O)O)cc1Br	CCOC(=O)c1ccc(C)c(Br)c1	c1ccccc1	validation
O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1.OCC1CCCCC1	O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)OCC1CCCCC1)c1ccc(Cl)cc1	O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)OCC1CCCCC1)c1ccccc1	dev
C[C@H]1C(=O)N2C(CN1C(=O)OCc1ccccc1)OC[C@@H]2CC(=O)O.O[C@@H]1CNCCC12CC2	C[C@H]1C(=O)N2C(CN1C(=O)OCc1ccccc1)OC[C@@H]2CC(=O)N1CCC2(CC2)[C@H](O)C1	O=C(C[C@H]1COC2CN(C(=O)OCc3ccccc3)CC(=O)N21)N1CCC2(CC1)CC2	dev
Cc1ccc(OCCCCCCCCCCCO)cc1.O=C(O)CCSC(c1ccccc1)(c1ccccc1)c1ccccc1	Cc1ccc(OCCCCCCCCCCCOC(=O)CCSC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1	O=C(CCSC(c1ccccc1)(c1ccccc1)c1ccccc1)OCCCCCCCCCCCOc1ccccc1	dev
CC(C)(C)OC(=O)C(C)(C)C(=O)O.COc1cc(OCCO)c(F)c(C(Nc2ccc(C(N)=NC(=O)OCC(C)(C)C)cc2)c2nc(OCCl)n(-c3ncccn3)n2)c1	COc1cc(OCCO)c(F)c([C@@H](Nc2ccc(C(N)=NC(=O)OCC(C)(C)C)cc2)c2nc(OCOC(=O)C(C)(C)C(=O)OC(C)(C)C)n(-c3ncccn3)n2)c1	c1ccc(N[C@H](c2ccccc2)c2ncn(-c3ncccn3)n2)cc1	validation
CCCO.O=C(O)c1ccccc1S	CCCOC(=O)c1ccccc1S	c1ccccc1	validation
CC(C)(C(=O)O)c1ccc([N+](=O)[O-])cc1.OCCBr	CC(C)(C(=O)OCCBr)c1ccc([N+](=O)[O-])cc1	c1ccccc1	validation
CC(=O)Nc1ccc(O)cc1.CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC(=O)O	CC(=O)Nc1ccc(OC(=O)C=CC=C(C)C=CC=C(C)C=CC2=C(C)CCCC2(C)C)cc1	O=C(C=CC=CC=CC=CC=CC1=CCCCC1)Oc1ccccc1	dev
O=C(O)C(c1ccccc1)c1ccccc1.O=[N+]([O-])c1ccccc1O	O=C(Oc1ccccc1[N+](=O)[O-])C(c1ccccc1)c1ccccc1	O=C(Oc1ccccc1)C(c1ccccc1)c1ccccc1	validation
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12.NC(=O)CC[C@H](NC(=O)OCc1ccccc1)C(=O)O	COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(N)=O)NC(=O)OCc1ccccc1	O=C(CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)OCc1ccccc1)NCCc1ccccc1	holdout
CCCCCCCCC(=O)O.COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1	CCCCCCCCC(=O)O[C@@]1(C#Cc2cccc(C)c2)CCC[C@@H]2[C@H]1CCN2C(=O)OC	C(#CC1CCC[C@H]2NCC[C@@H]12)c1ccccc1	dev
CC(C)(C)OC(=O)N1CC[C@@H](O)[C@H]1COCc1ccccc1.O=C(O)c1ccccc1	CC(C)(C)OC(=O)N1CC[C@H](OC(=O)c2ccccc2)[C@H]1COCc1ccccc1	O=C(O[C@H]1CCN[C@@H]1COCc1ccccc1)c1ccccc1	validation
CO.O=C(O)c1ccc(Cl)cc1	COC(=O)c1ccc(Cl)cc1	c1ccccc1	validation
CC(C)CN(C[C@@H](O)[C@H](Cc1ccc(OCCCN)cc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc2c(c1)OCO2.O=C(O)c1ccoc1	CC(C)CN(C[C@@H](O)[C@H](Cc1ccc(OCCCNC(=O)c2ccoc2)cc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc2c(c1)OCO2	O=C(N[C@H](CCNS(=O)(=O)c1ccc2c(c1)OCO2)Cc1ccc(OCCCNC(=O)c2ccoc2)cc1)O[C@H]1CO[C@H]2OCC[C@H]21	validation
CCO.COc1cc(CC(=O)O)ccc1OC(F)F	CCOC(=O)Cc1ccc(OC(F)F)c(OC)c1	c1ccccc1	validation
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=c1[nH]c(=O)n([C@H]2C[C@H](Cl)[C@@H](CO)O2)cc1/C=C/Br	CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1Cl	O=c1ccn([C@H]2CCCO2)c(=O)[nH]1	dev
O=C(O)C(=O)c1ccc(OCCOc2ccc3ccccc3c2)cc1.OCC(O)CO	O=C(OCC(O)CO)C(=O)c1ccc(OCCOc2ccc3ccccc3c2)cc1	c1ccc(OCCOc2ccc3ccccc3c2)cc1	holdout
CN(C)CC(=O)O.COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1	COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C[C@H](C)OC(=O)CN(C)C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1	O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)c1c[nH]n(-c2ccccc2)c1=O	dev
CCCCCC(=CC=CC(=O)O)CCCCC.O=[N+]([O-])c1ccc(O)cc1	CCCCCC(=CC=CC(=O)Oc1ccc([N+](=O)[O-])cc1)CCCCC	c1ccccc1	validation
CCN(CC)CC(=O)O.COc1c(C)cnc(CS(=O)c2nc3ccccc3n2CO)c1C	CCN(CC)CC(=O)OCn1c(S(=O)Cc2ncc(C)c(OC)c2C)nc2ccccc21	O=S(Cc1ccccn1)c1nc2ccccc2[nH]1	holdout
CCCCCCCCO.O=C(O)c1ccc(-c2ccc(OCc3ccccc3)cc2)cc1	CCCCCCCCOC(=O)c1ccc(-c2ccc(OCc3ccccc3)cc2)cc1	c1ccc(COc2ccc(-c3ccccc3)cc2)cc1	dev
O=C(O)CS.OCCc1ccccc1	O=C(CS)OCCc1ccccc1	c1ccccc1	validation
CN(C)C(=O)CO.Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)O)CC3)CC2)cc(C)c1O	Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)OCC(=O)N(C)C)CC3)CC2)cc(C)c1O	O=C(O[C@H](Cc1ccccc1)C(=O)N1CCC(C2CCNCC2)CC1)N1CCC(N2CCc3ccccc3NC2=O)CC1	validation
CCN(CC)C(=O)[C@H](C)O.COC(=O)/C=C/C(=O)O	CCN(CC)C(=O)[C@H](C)OC(=O)/C=C/C(=O)OC	CCN(CC)C(=O)[C@H](C)OC(=O)/C=C/C(=O)OC	dev
CCO.O=C(O)CC[N+](=O)[O-]	CCOC(=O)CC[N+](=O)[O-]	CCOC(=O)CC[N+](=O)[O-]	validation
CO.O=C(O)CC1NCCc2ccccc21	COC(=O)CC1NCCc2ccccc21	c1ccc2c(c1)CCNC2	dev
C=C(C)C(=O)O.COc1cc(-c2nc3ccccc3s2)cc(OC)c1OCCCCCCO	C=C(C)C(=O)OCCCCCCOc1c(OC)cc(-c2nc3ccccc3s2)cc1OC	c1ccc(-c2nc3ccccc3s2)cc1	validation
COc1ccc(C(=O)O)c(OC)c1OC.OCCN1CCNCC1	COc1ccc(C(=O)OCCN2CCNCC2)c(OC)c1OC	O=C(OCCN1CCNCC1)c1ccccc1	validation
COc1ccc(C(O)(C(=O)O)C2CCCC2)cc1.OCC#CCN1CC2CC2C1	COc1ccc(C(O)(C(=O)OCC#CCN2C[C@H]3C[C@H]3C2)C2CCCC2)cc1	O=C(OCC#CCN1C[C@H]2C[C@H]2C1)C(c1ccccc1)C1CCCC1	holdout
CC(C)(C)OC(=O)NN(Cc1ccc(-c2cncs2)cc1)C[C@H](O)[C@@H](N)Cc1ccccc1.COC(=O)N[C@H](C(=O)O)C(C)(C)C	COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2cncs2)cc1)NC(=O)OC(C)(C)C)C(C)(C)C	c1ccc(CCCCNCc2ccc(-c3cncs3)cc2)cc1	dev
COC(=O)Cc1c(O)ccc2cc(C(=N)N)ccc12.NN=CNc1ccc(C(=O)O)cc1	COC(=O)Cc1c(OC(=O)c2ccc(NC=NN)cc2)ccc2cc(C(=N)N)ccc12	O=C(Oc1ccc2ccccc2c1)c1ccccc1	dev
CC(C)(C)OC(=O)N1CC[C@@H](N)[C@H](O)C1.Cc1cc(-c2ncnc3c(C(=O)O)c(C)n(COCC[Si](C)(C)C)c23)c(OCC2CC2)cc1F	Cc1cc(-c2ncnc3c(C(=O)N[C@@H]4CCN(C(=O)OC(C)(C)C)C[C@H]4O)c(C)n(COCC[Si](C)(C)C)c23)c(OCC2CC2)cc1F	O=C(NC1CCNCC1)c1c[nH]c2c(-c3ccccc3OCC3CC3)ncnc12	validation
CO.O=C(O)C1CCN(C2CCCCC2)C1=O	COC(=O)C1CCN(C2CCCCC2)C1=O	O=C1CCCN1C1CCCCC1	dev
CN(C[C@H]1CC[C@H](C(=O)O)CC1)C(=O)Oc1ccc(Cl)cc1.CNCCCO	CN(C[C@H]1CC[C@H](C(=O)N(C)CCCO)CC1)C(=O)Oc1ccc(Cl)cc1	O=C(NCC1CCCCC1)Oc1ccccc1	holdout
COCC(=O)O.O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(-c2ccc(C3=NO[C@H](CO)C3)nc2)c(F)c1	COCC(=O)OC[C@@H]1CC(c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)=NO1	O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(-c2ccc(C3=NOCC3)nc2)cc1	dev
