row_index	kind	split	category	ambiguous_site	reactants	product	detail
275	esterification	dev	policy_or_hazard_rejection	false	O=C(COc1ccc([N+](=O)[O-])cc1)OCCO.O=C(O)COc1ccc([N+](=O)[O-])cc1	O=C(COc1ccc([N+](=O)[O-])cc1)OCCOC(=O)COc1ccc([N+](=O)[O-])cc1	reactant flagged by hazard heuristics: HazardScore { nitro_count: 1, nitro_density: 0.058823529411764705, peroxide_count: 0, unsaturation_ratio: 0.35294117647058826 }
276	esterification	validation	validity_or_conservation_failure	false	O=C(O)c1cnc(Cl)cn1.OCCOC1CCCCO1	O=C(OCCOC1CCCCO1)c1cnc(Cl)cn1	atom 7 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
277	esterification	validation	representation_or_normalization_failure	false	COc1ccc(C(=O)SCC(=O)O)cc1OS(C)(=O)=O.[O-][n+]1cc(Cl)c(C[C@H](O)c2ccc(OC(F)F)c(OCC3CC3)c2)c(Cl)c1	COc1ccc(C(=O)SCC(=O)O[C@@H](Cc2c(Cl)c[n+]([O-])cc2Cl)c2ccc(OC(F)F)c(OCC3CC3)c2)cc1OS(C)(=O)=O	reactant '[O-][n+]1cc(Cl)c(C[C@H](O)c2ccc(OC(F)F)c(OCC3CC3)c2)c(Cl)c1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
278	esterification	validation	representation_or_normalization_failure	false	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O.Nc1nc2c(ncn2[C@H]2C[C@H](F)[C@@H](COC(=O)CCC(=O)OC(CO)CO)O2)c(=O)[nH]1	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)OCC(CO)OC(=O)CCC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1F	reactant 'CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
279	esterification	validation	validity_or_conservation_failure	false	CCO.O=C(O)c1cccc2c1Cc1c-2[nH]c2ccc(Cl)cc12	CCOC(=O)c1cccc2c1Cc1c-2[nH]c2ccc(Cl)cc12	atom 17 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
280	esterification	validation	validity_or_conservation_failure	true	O=C(O)c1cc(O)cc(O)c1.OCC(Cl)(Cl)Cl	O=C(OCC(Cl)(Cl)Cl)c1cc(O)cc(O)c1	atom 3 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
281	esterification	validation	representation_or_normalization_failure	false	CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCC(O)c1cc2n(c(=O)c1C)Cc1cc3ccccc3nc1-2	CCC(OC(=O)C(NC(=O)OC(C)(C)C)C(C)C)c1cc2n(c(=O)c1C)Cc1cc3ccccc3nc1-2	reactant 'CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
282	esterification	validation	validity_or_conservation_failure	true	O=C(O)c1cccc(O)c1.OCCCl	O=C(OCCCl)c1cccc(O)c1	atom 3 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
283	esterification	dev	certified_exact_transformation	true	COC(=O)C(N)CO.Cc1ccc(C)c(CC(=O)N2CCC(C(=O)O)CC2)c1	COC(=O)C(CO)NC(=O)C1CCN(C(=O)Cc2cc(C)ccc2C)CC1	certified
284	esterification	dev	representation_or_normalization_failure	false	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12.CCCCCCOc1ccc(C(=O)O)cc1	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](OC(=O)c1ccc(OCCCCCC)cc1)c1ccnc2ccccc12	reactant 'C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
285	esterification	validation	certified_exact_transformation	true	CCO.COc1c(NCCNc2ccccn2)c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c12	CCOC(=O)c1cn(C2CC2)c2c(OC)c(NCCNc3ccccn3)c(F)c(N)c2c1=O	certified
286	esterification	holdout	resource_bounded_uncertainty	true	NC1CCCN(C(=O)OCc2ccccc2)CC1O.O=C(O)C(CS(=O)(=O)Cc1ccccc1)NC(=O)N1CCOCC1	O=C(NC1CCCN(C(=O)OCc2ccccc2)CC1O)C(CS(=O)(=O)Cc1ccccc1)NC(=O)N1CCOCC1	amidation: unable to verify
287	esterification	dev	certified_exact_transformation	false	CO.COc1ccc(CC(=O)O)c(Oc2ccccc2)c1	COC(=O)Cc1ccc(OC)cc1Oc1ccccc1	certified
288	esterification	holdout	representation_or_normalization_failure	false	COC(=O)CCC(=O)O.Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C)NC(=O)[C@@H](N)CC(C)C)cc1	COC(=O)CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1	reactant 'Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C)NC(=O)[C@@H](N)CC(C)C)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
289	esterification	validation	validity_or_conservation_failure	false	CCO.O=C(O)C=Cc1cccc(Br)c1	CCOC(=O)C=Cc1cccc(Br)c1	atom 10 has element Br outside the allowed set ["H", "C", "N", "O", "F"]
290	esterification	validation	certified_exact_transformation	true	NCC(=O)CCC(=O)O.OCc1ccc(C(F)(F)F)cc1	NCC(=O)CCC(=O)OCc1ccc(C(F)(F)F)cc1	certified
291	esterification	dev	representation_or_normalization_failure	false	CC(C)C[C@H](C(=O)O)[C@H]1OC(C)(C)OC1=O.Oc1c(F)c(F)c(F)c(F)c1F	CC(C)C[C@H](C(=O)Oc1c(F)c(F)c(F)c(F)c1F)[C@H]1OC(C)(C)OC1=O	reactant 'CC(C)C[C@H](C(=O)O)[C@H]1OC(C)(C)OC1=O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
292	esterification	validation	representation_or_normalization_failure	false	CC(C)[C@@H](N)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1.O=C1NCC2(CC[C@@H](C(=O)O)C2)O1	CC(C)[C@@H](NC(=O)[C@@H]1CCC2(CNC(=O)O2)C1)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1	reactant 'CC(C)[C@@H](N)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
293	esterification	validation	validity_or_conservation_failure	true	O=C(O)Cn1nnnc1-c1ccsc1.OCCCCCO	O=C(Cn1nnnc1-c1ccsc1)OCCCCCO	atom 12 has element S outside the allowed set ["H", "C", "N", "O", "F"]
294	esterification	validation	certified_exact_transformation	false	CC(C)O.CCCCCCCCCCCC(=O)N(C)CCC(=O)O	CCCCCCCCCCCC(=O)N(C)CCC(=O)OC(C)C	certified
295	esterification	holdout	certified_exact_transformation	true	O=C(O)Cn1nnnc1-c1cccc(C(F)(F)F)c1.OCCO	O=C(Cn1nnnc1-c1cccc(C(F)(F)F)c1)OCCO	certified
296	esterification	validation	certified_exact_transformation	false	CCCCO.O=C(O)CC1COc2ccc(NC(=O)c3ccc(C=NN4CCOCC4)cc3)cc2C1	CCCCOC(=O)CC1COc2ccc(NC(=O)c3ccc(C=NN4CCOCC4)cc3)cc2C1	certified
297	esterification	holdout	validity_or_conservation_failure	false	CCO.Cc1cc(Cl)ccc1Cn1nc(C(=O)O)c2ccccc21	CCOC(=O)c1nn(Cc2ccc(Cl)cc2C)c2ccccc12	atom 4 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
298	esterification	dev	representation_or_normalization_failure	false	CCC(C)C(=O)O.CCCCCCCCCCCOc1cnc(-c2ccc(O)cc2)nc1	CCCCCCCCCCCOc1cnc(-c2ccc(OC(=O)[C@@H](C)CC)cc2)nc1	declared product 'CCCCCCCCCCCOc1cnc(-c2ccc(OC(=O)[C@@H](C)CC)cc2)nc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
299	esterification	holdout	representation_or_normalization_failure	false	CC(C)=CCC/C(C)=C/CO.CNC(=O)O[C@@H]1OC=C(C(=O)O)[C@H]2C[C@@H]3O[C@]3(C)[C@H]12	CNC(=O)O[C@@H]1OC=C(C(=O)OC/C=C(\C)CCC=C(C)C)[C@H]2C[C@@H]3O[C@]3(C)[C@H]12	reactant 'CC(C)=CCC/C(C)=C/CO' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
300	esterification	validation	certified_exact_transformation	false	CO.O=C(O)CCCCc1ccccc1	COC(=O)CCCCc1ccccc1	certified
301	esterification	holdout	representation_or_normalization_failure	false	CC(C)(C)OC(=O)NC1(C(=O)O)CCN(c2ncnc3[nH]ccc23)CC1.N[C@@H](CCO)c1ccc(Cl)cc1	CC(C)(C)OC(=O)NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1	reactant 'N[C@@H](CCO)c1ccc(Cl)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
302	esterification	validation	validity_or_conservation_failure	false	CC(C)O.O=C(O)c1sc(Cl)nc1C(F)(F)F	CC(C)OC(=O)c1sc(Cl)nc1C(F)(F)F	atom 4 has element S outside the allowed set ["H", "C", "N", "O", "F"]
303	esterification	validation	validity_or_conservation_failure	true	CO.Cc1ccc(S(=O)(=O)NCC(=O)O)cc1	COC(=O)CNS(=O)(=O)c1ccc(C)cc1	atom 5 has element S outside the allowed set ["H", "C", "N", "O", "F"]
304	esterification	dev	representation_or_normalization_failure	false	CC(C)(C)OC(=O)C(NS(=O)(=O)c1cccc(C(=O)O)c1)c1ccccc1.COc1ccc([C@@H](O)Cc2c(Cl)c[n+]([O-])cc2Cl)cc1OC	COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2cccc(S(=O)(=O)NC(C(=O)OC(C)(C)C)c3ccccc3)c2)cc1OC	reactant 'COc1ccc([C@@H](O)Cc2c(Cl)c[n+]([O-])cc2Cl)cc1OC' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
305	esterification	holdout	representation_or_normalization_failure	false	COC(=O)C(N)Cc1cccc(O)c1.C[C@H](NC(=O)Cc1cccc([N+](=O)[O-])c1)C(=O)O	COC(=O)C(Cc1cccc(O)c1)NC(=O)[C@H](C)NC(=O)Cc1cccc([N+](=O)[O-])c1	reactant 'C[C@H](NC(=O)Cc1cccc([N+](=O)[O-])c1)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
306	esterification	holdout	certified_exact_transformation	false	O=C(O)C1CCCCC1.OCCc1ccccc1	O=C(OCCc1ccccc1)C1CCCCC1	certified
307	esterification	dev	certified_exact_transformation	true	CC(CCC(=O)O)CCC(=O)O.CCO	CCOC(=O)CCC(C)CCC(=O)O	certified
308	esterification	dev	validity_or_conservation_failure	false	CO.O=C(O)CCc1cnoc1-c1ccc(Cl)c(Cl)c1	COC(=O)CCc1cnoc1-c1ccc(Cl)c(Cl)c1	atom 14 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
309	esterification	validation	representation_or_normalization_failure	false	CC(C)(CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3C(=O)O)cc2)C1=O)NC(=O)OCc1ccccc1.NCCO	CC(C)(CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3C(=O)NCCO)cc2)C1=O)NC(=O)OCc1ccccc1	reactant 'CC(C)(CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3C(=O)O)cc2)C1=O)NC(=O)OCc1ccccc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
310	esterification	validation	representation_or_normalization_failure	false	COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12.COc1ccc(COC(=O)N[C@@H](COCc2ccccc2)C(=O)O)cc1	COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](COCc1ccccc1)NC(=O)OCc1ccc(OC)cc1	reactant 'COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
311	esterification	dev	certified_exact_transformation	false	CCO.O=C(O)Cc1cc(OCc2ccccc2)cc(C(F)(F)F)c1	CCOC(=O)Cc1cc(OCc2ccccc2)cc(C(F)(F)F)c1	certified
312	esterification	dev	representation_or_normalization_failure	false	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(C)(C)[Si](C)(C)Oc1ccc([C@H]2CC[C@H](O)CC2)c(O[Si](C)(C)C(C)(C)C)c1	CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)O[C@H]1CC[C@H](c2ccc(O[Si](C)(C)C(C)(C)C)cc2O[Si](C)(C)C(C)(C)C)CC1	reactant 'CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
313	esterification	validation	certified_exact_transformation	false	CCCCCCCCC(=O)O.Oc1ccccc1	CCCCCCCCC(=O)Oc1ccccc1	certified
314	esterification	validation	representation_or_normalization_failure	false	C[C@H](N)C(=O)O.OC1CCCC1	C[C@H](N)C(=O)OC1CCCC1	reactant 'C[C@H](N)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
315	esterification	dev	representation_or_normalization_failure	false	CC(C)(S)[C@H]1C[C@H](C(=O)O)CS1.CCO	CCOC(=O)[C@@H]1CS[C@@H](C(C)(C)S)C1	reactant 'CC(C)(S)[C@H]1C[C@H](C(=O)O)CS1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
316	esterification	dev	representation_or_normalization_failure	false	CCCCCCCCOc1ccc(C(=O)O)cc1C#N.CCCCCC[C@@H]1CC[C@H](O)C(=O)O1	CCCCCCCCOc1ccc(C(=O)O[C@@H]2CC[C@@H](CCCCCC)OC2=O)cc1C#N	reactant 'CCCCCC[C@@H]1CC[C@H](O)C(=O)O1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
317	esterification	dev	certified_exact_transformation	true	O=C(O)COc1ccc(N2CCN(CCC3CCNCC3)CC2)cc1.OC1CCCC1	O=C(COc1ccc(N2CCN(CCC3CCNCC3)CC2)cc1)OC1CCCC1	certified
318	esterification	holdout	validity_or_conservation_failure	false	CC(C)(C)OC(=O)C(C)(C)Sc1ccc(C(=O)O)cc1.CCCc1nn(Cc2ccc(C(F)(F)F)cc2)cc1CO	CCCc1nn(Cc2ccc(C(F)(F)F)cc2)cc1COC(=O)c1ccc(SC(C)(C)C(=O)OC(C)(C)C)cc1	atom 10 has element S outside the allowed set ["H", "C", "N", "O", "F"]
319	esterification	holdout	validity_or_conservation_failure	true	CC(C)(C)N1C(=O)C(NCC(=O)O)=C(c2ccccc2)S1(=O)=O.Cc1cc(C)c(CC(C)O)c(C)c1	Cc1cc(C)c(CC(C)OC(=O)CNC2=C(c3ccccc3)S(=O)(=O)N(C(C)(C)C)C2=O)c(C)c1	atom 20 has element S outside the allowed set ["H", "C", "N", "O", "F"]
320	esterification	dev	certified_exact_transformation	true	Nc1ccc(CC(C(=O)O)c2cn(C3CCCCC3)cn2)cn1.OCCO	Nc1ccc(CC(C(=O)OCCO)c2cn(C3CCCCC3)cn2)cn1	certified
321	esterification	dev	representation_or_normalization_failure	false	COCC(=O)O.C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	COCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	reactant 'C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
322	esterification	holdout	certified_exact_transformation	false	CCCCCCC(C)Oc1ccc(O)cc1.O=C(O)c1ccc(OCc2ccccc2)cc1	CCCCCCC(C)Oc1ccc(OC(=O)c2ccc(OCc3ccccc3)cc2)cc1	certified
323	esterification	dev	certified_exact_transformation	false	CC(CC(=O)O)c1ccc(-c2ccc(F)cc2F)cc1.CCCCO	CCCCOC(=O)CC(C)c1ccc(-c2ccc(F)cc2F)cc1	certified
324	esterification	validation	representation_or_normalization_failure	false	CCCCCCCCCCCCN(C(=O)CCCCCCCCCCC)[C@]1(N)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1C(=O)CN.O=C(O)CNC(=O)OCc1ccccc1	CCCCCCCCCCCCN(C(=O)CCCCCCCCCCC)[C@]1(N)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1C(=O)CNC(=O)CNC(=O)OCc1ccccc1	reactant 'CCCCCCCCCCCCN(C(=O)CCCCCCCCCCC)[C@]1(N)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1C(=O)CN' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
325	esterification	validation	representation_or_normalization_failure	false	CCCCCCCCCCCCO.C[C@H](NCc1ccccc1O)C(=O)O	CCCCCCCCCCCCOC(=O)[C@H](C)NCc1ccccc1O	reactant 'C[C@H](NCc1ccccc1O)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
326	esterification	validation	certified_exact_transformation	true	CCCO.NCC(=O)CCC(=O)O	CCCOC(=O)CCC(=O)CN	certified
327	esterification	validation	policy_or_hazard_rejection	false	O=C(O)c1ccc2[nH]cc(CCN3C(=O)c4ccccc4C3=O)c2c1.O=[N+]([O-])c1ccc(O)cc1	O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccc2[nH]cc(CCN3C(=O)c4ccccc4C3=O)c2c1	reactant flagged by hazard heuristics: HazardScore { nitro_count: 1, nitro_density: 0.1, peroxide_count: 0, unsaturation_ratio: 0.5 }
328	esterification	dev	resource_bounded_uncertainty	true	CC(C)(O)c1ccc(-c2cc(C(N)=O)c(N)s2)c(F)c1.O=C(O)CN(Cc1cccc(Br)n1)C(=O)OCc1ccccc1	CC(C)(O)c1ccc(-c2cc(C(N)=O)c(Nc3cccc(CN(CC(=O)O)C(=O)OCc4ccccc4)n3)s2)c(F)c1	amidation: unable to verify
329	esterification	holdout	certified_exact_transformation	false	CC(C)(C)OC(=O)NCC(=O)NCC(=O)O.Oc1ccc(-c2nn(C3CCCC3)c3c(F)cccc23)cc1	CC(C)(C)OC(=O)NCC(=O)NCC(=O)Oc1ccc(-c2nn(C3CCCC3)c3c(F)cccc23)cc1	certified
330	esterification	validation	representation_or_normalization_failure	false	CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C.COc1ccc2cc([C@H](C)C(=O)O)ccc2c1	CC[C@@H](c1cccc(OC(=O)[C@@H](C)c2ccc3cc(OC)ccc3c2)c1)[C@@H](C)CN(C)C	reactant 'CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
331	esterification	dev	validity_or_conservation_failure	false	CO.O=C(O)c1ncccc1Br	COC(=O)c1ncccc1Br	atom 9 has element Br outside the allowed set ["H", "C", "N", "O", "F"]
332	esterification	validation	validity_or_conservation_failure	false	O=C(O)CCCBr.OCC1c2ccccc2-c2ccccc21	O=C(CCCBr)OCC1c2ccccc2-c2ccccc21	atom 6 has element Br outside the allowed set ["H", "C", "N", "O", "F"]
333	esterification	holdout	representation_or_normalization_failure	false	CC(=O)c1cc(C(=O)O)cc(N2CCCCS2(=O)=O)c1.COc1cccc(CN(C[C@@H](O)[C@@H](N)Cc2cc(F)cc(F)c2)C(=O)OC(C)(C)C)c1	COc1cccc(CN(C[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(C)=O)cc(N3CCCCS3(=O)=O)c2)C(=O)OC(C)(C)C)c1	reactant 'COc1cccc(CN(C[C@@H](O)[C@@H](N)Cc2cc(F)cc(F)c2)C(=O)OC(C)(C)C)c1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
334	esterification	dev	representation_or_normalization_failure	false	CC(C)CN(CC(O)C(N)Cc1ccccc1)S(=O)(=O)c1ccc(N)cc1.O=C(O)O[C@H]1CO[C@H]2OCC[C@@H]12	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1	reactant 'O=C(O)O[C@H]1CO[C@H]2OCC[C@@H]12' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
335	esterification	holdout	representation_or_normalization_failure	false	CCCCCC(O)c1ccc(N2C(=O)CC[C@@H]2CCCc2ccc(C(=O)O)s2)cc1.OCCO	CCCCCC(O)c1ccc(N2C(=O)CC[C@@H]2CCCc2ccc(C(=O)OCCO)s2)cc1	reactant 'CCCCCC(O)c1ccc(N2C(=O)CC[C@@H]2CCCc2ccc(C(=O)O)s2)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
336	esterification	holdout	representation_or_normalization_failure	false	COC(=O)[C@@H](N)Cc1ccc(O)cc1.C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)O	COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)Cc1cc(F)cc(F)c1	reactant 'COC(=O)[C@@H](N)Cc1ccc(O)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
337	esterification	validation	policy_or_hazard_rejection	false	CCO.O=C(O)c1cc(F)cc([N+](=O)[O-])c1	CCOC(=O)c1cc(F)cc([N+](=O)[O-])c1	reactant flagged by hazard heuristics: HazardScore { nitro_count: 1, nitro_density: 0.07692307692307693, peroxide_count: 0, unsaturation_ratio: 0.46153846153846156 }
338	esterification	holdout	representation_or_normalization_failure	false	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O.COc1cc2c(cc1OC)[C@H]1C[C@@H](O)[C@H](CC(C)C)CN1CC2	COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)C(NC(=O)OCc3ccccc3)C(C)C)[C@H](CC(C)C)CN1CC2	reactant 'CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
339	esterification	dev	certified_exact_transformation	false	CO.Cc1cc(CCCC2CN(Cc3ccc(C(C)(C)C)cc3)C(=O)N2C)ccc1OC(C)(C)C(=O)O	COC(=O)C(C)(C)Oc1ccc(CCCC2CN(Cc3ccc(C(C)(C)C)cc3)C(=O)N2C)cc1C	certified
340	esterification	dev	validity_or_conservation_failure	false	CC1=C(C)C(=O)N(CCCCCCO)C1=O.O=C(O)CCl	CC1=C(C)C(=O)N(CCCCCCOC(=O)CCl)C1=O	atom 4 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
341	esterification	dev	certified_exact_transformation	false	C=C(C)C(=O)O.OC1Cc2cccc3cccc1c23	C=C(C)C(=O)OC1Cc2cccc3cccc1c23	certified
342	esterification	dev	validity_or_conservation_failure	false	CC(C)C(C(=O)O)c1cc2cc(F)ccc2s1.OCc1[nH]ccc1Cc1ccccc1	CC(C)C(C(=O)OCc1[nH]ccc1Cc1ccccc1)c1cc2cc(F)ccc2s1	atom 16 has element S outside the allowed set ["H", "C", "N", "O", "F"]
343	esterification	dev	validity_or_conservation_failure	false	COc1ccc(-c2cc3c(C(=O)O)n[nH]c3cc2Cl)cc1.Cc1ccc(O)cc1	COc1ccc(-c2cc3c(C(=O)Oc4ccc(C)cc4)n[nH]c3cc2Cl)cc1	atom 18 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
344	esterification	dev	representation_or_normalization_failure	false	O=C(O)c1ccccc1.O[C@@H]1C[C@H](c2ccc3c(N[C@H]4CCc5ccccc54)ncnn23)C=C1COCc1ccccc1	O=C(O[C@H]1C[C@H](c2ccc3c(N[C@H]4CCc5ccccc54)ncnn23)C=C1COCc1ccccc1)c1ccccc1	reactant 'O[C@@H]1C[C@H](c2ccc3c(N[C@H]4CCc5ccccc54)ncnn23)C=C1COCc1ccccc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
345	esterification	dev	representation_or_normalization_failure	false	CCC[C@@H](CO)Nc1nc(N)nc(C)c1Cc1ccc(C(=O)O)cc1OC.CN(C)CCCCO	CCC[C@@H](CO)Nc1nc(N)nc(C)c1Cc1ccc(C(=O)OCCCCN(C)C)cc1OC	reactant 'CCC[C@@H](CO)Nc1nc(N)nc(C)c1Cc1ccc(C(=O)O)cc1OC' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
346	esterification	validation	validity_or_conservation_failure	false	CCO.COc1ccc(CC(=O)O)cc1Br	CCOC(=O)Cc1ccc(OC)c(Br)c1	atom 12 has element Br outside the allowed set ["H", "C", "N", "O", "F"]
347	esterification	dev	representation_or_normalization_failure	false	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O.OC1CNCC1SCc1ccccc1	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N1CC(O)C(SCc2ccccc2)C1	reactant 'CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
348	esterification	dev	representation_or_normalization_failure	false	CO[C@@](C(=O)O)(c1ccccc1)C(F)(F)F.Oc1c(F)c(F)c(F)c(F)c1F	CO[C@@](C(=O)Oc1c(F)c(F)c(F)c(F)c1F)(c1ccccc1)C(F)(F)F	reactant 'CO[C@@](C(=O)O)(c1ccccc1)C(F)(F)F' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
349	esterification	holdout	certified_exact_transformation	true	CCC(N)CCCCCCCCC(C)(C)C(=O)O.CO	CCC(N)CCCCCCCCC(C)(C)C(=O)OC	certified
